NRGSTREAM Data Extract for stream : ERC - System Wide Solar Output
Generated at : 11/27/2023 15:54 with : 730 records
Date criteria from : Jan 01 2017 to : Jan 01 2019
Data Interval : 1440 minutes

Date/Time,MW
01/01/2017 00:00,131.93
01/02/2017 00:00,134.33
01/03/2017 00:00,119.30
01/04/2017 00:00,94.90
01/05/2017 00:00,91.39
01/06/2017 00:00,68.90
01/07/2017 00:00,147.19
01/08/2017 00:00,135.14
01/09/2017 00:00,125.84
01/10/2017 00:00,97.86
01/11/2017 00:00,117.18
01/12/2017 00:00,97.12
01/13/2017 00:00,49.86
01/14/2017 00:00,25.04
01/15/2017 00:00,37.86
01/16/2017 00:00,124.96
01/17/2017 00:00,24.45
01/18/2017 00:00,106.93
01/19/2017 00:00,144.13
01/20/2017 00:00,147.56
01/21/2017 00:00,89.70
01/22/2017 00:00,125.98
01/23/2017 00:00,171.14
01/24/2017 00:00,160.77
01/25/2017 00:00,92.33
01/26/2017 00:00,132.21
01/27/2017 00:00,70.73
01/28/2017 00:00,163.98
01/29/2017 00:00,180.34
01/30/2017 00:00,183.28
01/31/2017 00:00,187.56
02/01/2017 00:00,194.94
02/02/2017 00:00,172.46
02/03/2017 00:00,143.85
02/04/2017 00:00,100.92
02/05/2017 00:00,150.42
02/06/2017 00:00,118.86
02/07/2017 00:00,177.20
02/08/2017 00:00,204.75
02/09/2017 00:00,221.53
02/10/2017 00:00,178.30
02/11/2017 00:00,174.50
02/12/2017 00:00,85.94
02/13/2017 00:00,42.78
02/14/2017 00:00,62.90
02/15/2017 00:00,221.89
02/16/2017 00:00,189.10
02/17/2017 00:00,206.34
02/18/2017 00:00,177.12
02/19/2017 00:00,74.54
02/20/2017 00:00,201.37
02/21/2017 00:00,212.76
02/22/2017 00:00,209.63
02/23/2017 00:00,201.83
02/24/2017 00:00,224.67
02/25/2017 00:00,249.11
02/26/2017 00:00,155.40
02/27/2017 00:00,202.02
02/28/2017 00:00,82.92
03/01/2017 00:00,247.83
03/02/2017 00:00,192.42
03/03/2017 00:00,163.36
03/04/2017 00:00,39.43
03/05/2017 00:00,181.48
03/06/2017 00:00,167.67
03/07/2017 00:00,181.13
03/08/2017 00:00,194.04
03/09/2017 00:00,125.19
03/10/2017 00:00,149.12
03/11/2017 00:00,181.03
03/12/2017 00:00,120.44
03/13/2017 00:00,135.09
03/14/2017 00:00,244.27
03/15/2017 00:00,218.37
03/16/2017 00:00,207.81
03/17/2017 00:00,244.96
03/18/2017 00:00,224.75
03/19/2017 00:00,218.98
03/20/2017 00:00,234.37
03/21/2017 00:00,215.08
03/22/2017 00:00,212.66
03/23/2017 00:00,213.90
03/24/2017 00:00,237.81
03/25/2017 00:00,301.73
03/26/2017 00:00,251.28
03/27/2017 00:00,268.38
03/28/2017 00:00,165.35
03/29/2017 00:00,229.07
03/30/2017 00:00,292.52
03/31/2017 00:00,291.58
04/01/2017 00:00,210.30
