NRGSTREAM Data Extract for stream : ERC - System Wide Solar Output
Generated at : 11/27/2023 15:56 with : 1792 records
Date criteria from : Jan 01 2019 to : Nov 28 2023
Data Interval : 1440 minutes

Date/Time,MW
01/01/2019 00:00,49.08
01/02/2019 00:00,40.15
01/03/2019 00:00,372.10
01/04/2019 00:00,414.07
01/05/2019 00:00,372.01
01/06/2019 00:00,144.27
01/07/2019 00:00,346.12
01/08/2019 00:00,251.25
01/09/2019 00:00,164.50
01/10/2019 00:00,267.03
01/11/2019 00:00,128.82
01/12/2019 00:00,367.93
01/13/2019 00:00,293.67
01/14/2019 00:00,100.03
01/15/2019 00:00,199.72
01/16/2019 00:00,361.81
01/17/2019 00:00,355.08
01/18/2019 00:00,290.18
01/19/2019 00:00,422.90
01/20/2019 00:00,390.82
01/21/2019 00:00,245.61
01/22/2019 00:00,216.93
01/23/2019 00:00,443.85
01/24/2019 00:00,435.05
01/25/2019 00:00,407.23
01/26/2019 00:00,326.45
01/27/2019 00:00,439.17
01/28/2019 00:00,398.81
01/29/2019 00:00,240.99
01/30/2019 00:00,294.74
01/31/2019 00:00,326.87
02/01/2019 00:00,317.66
02/02/2019 00:00,316.27
02/03/2019 00:00,295.36
02/04/2019 00:00,329.10
02/05/2019 00:00,204.02
02/06/2019 00:00,207.97
02/07/2019 00:00,428.04
02/08/2019 00:00,183.42
02/09/2019 00:00,212.97
02/10/2019 00:00,81.70
02/11/2019 00:00,92.64
02/12/2019 00:00,501.24
02/13/2019 00:00,292.32
02/14/2019 00:00,260.66
02/15/2019 00:00,328.06
02/16/2019 00:00,419.47
02/17/2019 00:00,455.24
02/18/2019 00:00,199.07
02/19/2019 00:00,180.41
02/20/2019 00:00,420.96
02/21/2019 00:00,315.52
02/22/2019 00:00,357.32
02/23/2019 00:00,382.22
02/24/2019 00:00,494.93
02/25/2019 00:00,355.07
02/26/2019 00:00,412.62
02/27/2019 00:00,303.59
02/28/2019 00:00,400.18
03/01/2019 00:00,403.28
03/02/2019 00:00,222.75
03/03/2019 00:00,144.45
03/04/2019 00:00,338.17
03/05/2019 00:00,507.64
03/06/2019 00:00,390.39
03/07/2019 00:00,304.95
03/08/2019 00:00,178.78
03/09/2019 00:00,388.38
03/10/2019 00:00,164.46
03/11/2019 00:00,77.74
03/12/2019 00:00,91.49
03/13/2019 00:00,440.72
03/14/2019 00:00,532.79
03/15/2019 00:00,469.33
03/16/2019 00:00,362.32
03/17/2019 00:00,529.09
03/18/2019 00:00,359.65
03/19/2019 00:00,508.30
03/20/2019 00:00,180.65
03/21/2019 00:00,327.20
03/22/2019 00:00,195.90
03/23/2019 00:00,450.33
03/24/2019 00:00,483.18
03/25/2019 00:00,500.27
03/26/2019 00:00,393.68
03/27/2019 00:00,285.96
03/28/2019 00:00,366.74
03/29/2019 00:00,500.23
03/30/2019 00:00,185.38
03/31/2019 00:00,549.01
04/01/2019 00:00,565.01
04/02/2019 00:00,532.84
04/03/2019 00:00,457.27
04/04/2019 00:00,606.33
04/05/2019 00:00,439.79
04/06/2019 00:00,522.18
04/07/2019 00:00,501.29
04/08/2019 00:00,663.98
04/09/2019 00:00,651.74
04/10/2019 00:00,574.76
04/11/2019 00:00,589.99
04/12/2019 00:00,448.24
04/13/2019 00:00,238.26
04/14/2019 00:00,690.91
04/15/2019 00:00,559.01
04/16/2019 00:00,382.19
04/17/2019 00:00,585.37
04/18/2019 00:00,544.84
